id,season,prenda,nivel,subnivel,tipo_color_temporada,color,color_categoria,publishable,formales_informales,color_l,color_categoria_l,adventurous,application,basic,print,style,weather,talla_lookiero
32gQ405_stwothrn_sh,9,scarf,3,3.2,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,three,work,no_especificado,sheets,street,warm_season,['UNQ']
32asQ405_stwothrn_sh,9,scarf,3,3.2,FRIOS/INVIERNO,ochre,AMARILLO,True,FR,as,D,three,work,no_especificado,sheets,street,warm_season,['UNQ']
32pQ405_stwothrn_sh,9,scarf,3,3.2,FRIOS/INVIERNO,grey_dark,GRIS,True,FR,p,H,three,work,no_especificado,sheets,street,warm_season,['UNQ']
21eT883_cafrthr0_sm,7,top,2,2.1,CALIDOS/VERANO,yellow,AMARILLO,True,N,e,D,three,freetime,0,smooth,casual,warm,"['XS', 'M', 'S', 'XL', 'L']"
11bP1375_clwothr0_sm,7,pant,1,1.1,CALIDOS/VERANO,beige,MARRÓN,True,N,b,B,three,work,0,smooth,classic,warm_season,"['XL', 'XS', 'L', 'M', 'S']"
12bD1530_bofrthr0_sm,7,dress,1,1.2,CALIDOS/VERANO,beige,MARRÓN,True,N,b,B,three,freetime,0,smooth,boho,warm,"['L', 'M', 'S', 'XL']"
12kD1530_bofrthr0_sm,7,dress,1,1.2,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,three,freetime,0,smooth,boho,warm,"['L', 'M', 'S', 'XL']"
21dT2042_ninithr0_an,9,top,2,2.1,CALIDOS/VERANO,red,ROJO,True,N,d,C,three,night,0,animal_print,night,warm,"['S', 'L', 'M']"
21nT2042_ninithr0_an,9,top,2,2.1,CALIDOS/VERANO,white,BLANCO,True,N,n,E,three,night,0,animal_print,night,warm,"['M', 'S', 'L']"
21fT1596_bofrthr0_sm,9,top,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,three,freetime,0,smooth,boho,warm,"['XS', 'M', 'S', 'L', 'XL']"
31aK1134_stfrthr0_re,9,jacket,3,3.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,freetime,0,retro,street,warm_season,"['L', 'S', 'XXL', 'XL', 'M']"
32eQ294_stwothrn_an,7,scarf,3,3.2,CALIDOS/VERANO,yellow,AMARILLO,True,FR,e,D,three,work,no_especificado,animal_print,street,warm,['UNQ']
21qC1003_cafrthr0_ho,7,t-shirt,2,2.1,CALIDOS/VERANO,mustand,AMARILLO,True,IR,q,D,three,freetime,0,horizontal_stripes,casual,warm,"['M', 'S', 'XL', 'XS', 'L', 'XXL']"
21ajC1003_cafrthr0_ho,7,t-shirt,2,2.1,CALIDOS/VERANO,coral,ROJO,True,IR,aj,C,three,freetime,0,horizontal_stripes,casual,warm,"['XXL', 'L', 'M', 'S', 'XL', 'XS']"
11oF1128_bofrthr0_fl,7,skirt,1,1.1,CALIDOS/VERANO,green,VERDE,True,FR,o,G,three,freetime,0,floral,boho,warm,"['L', 'S', 'M']"
11aF1128_bofrthr0_fl,7,skirt,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,FR,a,A,three,freetime,0,floral,boho,warm,"['S', 'M', 'L']"
21aC2218_cawotwo0_sm,9,t-shirt,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,IR,a,A,two,work,0,smooth,casual,warm,"['M', 'L', 'XS', 'XL', 'S']"
21fC2218_cawotwo0_sm,9,t-shirt,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,IR,f,E,two,work,0,smooth,casual,warm,"['XS', 'L', 'M', 'S', 'XL']"
21gC2218_cawotwo0_sm,9,t-shirt,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,IR,g,F,two,work,0,smooth,casual,warm,"['M', 'XS', 'XL', 'S', 'L']"
12aD1910_bowothr0_fl,7,dress,1,1.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,work,0,floral,boho,warm,"['L', 'S']"
11aF1628_bofrthr0_fl,9,skirt,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,FR,a,A,three,freetime,0,floral,boho,warm,"['S', 'M']"
